Date,Close
2016-05-09,9.36
2016-05-10,9.74
2016-05-11,10.45
2016-05-12,10.4
2016-05-13,10.5
2016-05-14,10.57
2016-05-15,10.06
2016-05-16,11.33
2016-05-17,13.04
2016-05-18,13.87
2016-05-19,14.56
2016-05-20,13.29
2016-05-21,14.14
2016-05-22,14.33
2016-05-23,13.56
2016-05-24,12.69
2016-05-25,12.9
2016-05-26,11.75
2016-05-27,10.41
2016-05-28,12.06
2016-05-29,12.43
2016-05-30,12.61
2016-05-31,14.13
2016-06-01,13.85
2016-06-02,13.84
2016-06-03,13.91
2016-06-04,13.74
2016-06-05,13.92
2016-06-06,13.96
2016-06-07,14.65
2016-06-08,14.49
2016-06-09,14.38
2016-06-10,13.95
2016-06-11,14.3
2016-06-12,15.81
2016-06-13,17.95
2016-06-14,18.58
2016-06-15,18.99
2016-06-16,21.09
2016-06-17,14.31
2016-06-18,12.51
2016-06-19,12.46
2016-06-20,12.3
2016-06-21,14.96
2016-06-22,13.16
2016-06-23,13.36
2016-06-24,14.5
2016-06-25,14.33
2016-06-26,14.0
2016-06-27,14.02
2016-06-28,12.14
2016-06-29,12.83
2016-06-30,12.39
2016-07-01,12.05
2016-07-02,12.03
2016-07-03,11.78
2016-07-04,11.46
2016-07-05,11.45
2016-07-06,10.36
2016-07-07,10.33
2016-07-08,11.4
2016-07-09,11.0
2016-07-10,11.09
2016-07-11,10.7
2016-07-12,10.76
2016-07-13,11.1
2016-07-14,12.0
2016-07-15,12.0
2016-07-16,11.62
2016-07-17,11.52
2016-07-18,11.2
2016-07-19,12.33
2016-07-20,12.61
2016-07-21,13.08
2016-07-22,15.5
2016-07-23,14.21
2016-07-24,13.35
2016-07-25,14.15
2016-07-26,12.13
2016-07-27,13.01
2016-07-28,13.14
2016-07-29,12.87
2016-07-30,12.5
2016-07-31,11.81
2016-08-01,11.01
2016-08-02,9.53
2016-08-03,10.52
2016-08-04,11.2
2016-08-05,11.0
2016-08-06,10.99
2016-08-07,11.11
2016-08-08,11.35
2016-08-09,12.36
2016-08-10,12.39
2016-08-11,11.86
2016-08-12,11.95
2016-08-13,11.73
2016-08-14,11.51
2016-08-15,11.12
2016-08-16,11.24
2016-08-17,11.13
2016-08-18,10.85
2016-08-19,11.16
2016-08-20,11.05
2016-08-21,11.2
2016-08-22,11.28
2016-08-23,11.3
2016-08-24,11.02
2016-08-25,11.45
2016-08-26,11.38
2016-08-27,11.11
2016-08-28,10.94
2016-08-29,11.09
2016-08-30,11.3
